fpr,tpr,quality,coverage
0.2282453637660485,0.8099547511312217,0.5817093873651732,339
0.11412268188302425,0.6063348416289592,0.49221215974593496,214
0.4051355206847361,0.8959276018099548,0.4907920811252187,482
0.06134094151212553,0.4796380090497738,0.4182970675376482,149
0.536376604850214,0.9502262443438914,0.41384963949367737,586
0.6162624821683309,0.9773755656108597,0.3611130834425288,648
0.04136947218259629,0.38009049773755654,0.33872102555496025,113
0.6833095577746077,0.9909502262443439,0.30764066846973626,698
0.009985734664764621,0.19909502262443438,0.18910928795966975,51
0.9728958630527818,1.0,0.02710413694721825,903
