rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,marital-status == 1.0 AND age >= 28.0 AND education-num >= 9.0 AND occupation != 2.0 AND relationship != 3.0,339,0.3676789587852495,0.8099547511312217,0.2282453637660485,0.528023598820059,0.5817093873651732,ROC_HULL
2,marital-status == 1.0 AND age >= 28.0 AND education-num >= 10.0 AND occupation != 2.0 AND native-country != 27,214,0.23210412147505424,0.6063348416289592,0.11412268188302425,0.6261682242990654,0.49221215974593496,ROC_HULL
3,age >= 28.0 AND relationship != 3.0 AND marital-status <= 1.0 AND occupation != 2.0,482,0.5227765726681128,0.8959276018099548,0.4051355206847361,0.4107883817427386,0.4907920811252187,ROC_HULL
4,marital-status == 1.0 AND age >= 28.0 AND education-num >= 10.0 AND education != 5.0 AND native-country != 27,149,0.1616052060737527,0.4796380090497738,0.06134094151212553,0.7114093959731543,0.4182970675376482,ROC_HULL
5,age >= 28.0 AND relationship != 3.0 AND occupation != 2.0 AND education-num >= 9.0,586,0.6355748373101953,0.9502262443438914,0.536376604850214,0.3583617747440273,0.41384963949367737,ROC_HULL
6,age >= 28.0 AND education-num != 1 AND occupation != 2.0 AND relationship != 3.0,648,0.702819956616052,0.9773755656108597,0.6162624821683309,0.3333333333333333,0.3611130834425288,ROC_HULL
7,age >= 28.0 AND marital-status == 1.0 AND education-num >= 10.0 AND education != 5.0 AND fnlwgt >= 114669.25,113,0.12255965292841649,0.38009049773755654,0.04136947218259629,0.7433628318584071,0.33872102555496025,ROC_HULL
8,age >= 28.0 AND education-num != 1 AND native-country != 27,698,0.7570498915401301,0.9909502262443439,0.6833095577746077,0.3137535816618911,0.30764066846973626,ROC_HULL
9,marital-status == 1.0 AND age >= 28.0 AND education-num >= 10.0 AND education != 5.0 AND occupation <= 2.0,51,0.055314533622559656,0.19909502262443438,0.009985734664764621,0.8627450980392157,0.18910928795966975,ROC_HULL
10,age != 17 AND education-num != 1 AND native-country != 27,903,0.9793926247288504,1.0,0.9728958630527818,0.24473975636766335,0.02710413694721825,ROC_HULL
