fpr,tpr,quality,coverage
0.4711111111111111,0.6502463054187192,0.1791351943076081,344
0.26222222222222225,0.43842364532019706,0.17620142309797482,207
0.5977777777777777,0.7635467980295566,0.16576902025177886,424
0.16444444444444445,0.3251231527093596,0.16067870826491515,140
0.6511111111111111,0.8078817733990148,0.1567706622879037,457
0.08,0.20689655172413793,0.12689655172413794,78
0.8377777777777777,0.9408866995073891,0.10310892172961139,568
0.051111111111111114,0.15270935960591134,0.10159824849480023,54
0.9066666666666666,0.9852216748768473,0.07855500821018069,608
0.9822222222222222,1.0,0.01777777777777778,645
